2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application starting...
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Look and feel set successfully.
2025-02-18 18:53:27 [main] INFO  com.ontlogieai.Main - Application started successfully.
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-104, Point Description: J229-06-2XA-104 - VK-6H-1 - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-105, Point Description: J229-06-2XA-105 - VK-6H-2 - Circuit Breaker Tripped, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-106, Point Description: J229-06-2XA-106 - VK-6H-2 - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-107, Point Description: J229-06-2XA-107 - VK-6H-3 - Circuit Breaker Tripped, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-108, Point Description: J229-06-2XA-108 - VK-6H-3 - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-109, Point Description: J229-06-2XA-109 - VK-6H-4 - Circuit Breaker Tripped, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-110, Point Description: J229-06-2XA-110 - VK-6H-4 - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-111, Point Description: J229-06-2XA-111 - VK-UPS-6H-5 - Circuit Breaker Tripped, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J229-06-2XA-112, Point Description: J229-06-2XA-112 - VK-UPS-6H-5 - Voltage Surge Arrestor, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2FT-602, Point Description: J460-02-2FT-602 - 61LBK2 - Return Air Flow, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2TT-608, Point Description: J460-02-2TT-608 - 61LBK2 - Return Air Temperature, standardDeviceTag: J460-01-2TT-616
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2FT-601, Point Description: J460-02-2FT-601 - 61LBK2 - Supply Air Flow, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2TT-607, Point Description: J460-02-2TT-607 - 61LBK2 - Supply Air Temperature, standardDeviceTag: J460-01-2TT-614
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2MT-607, Point Description: J460-02-2MT-607 - 61LBK2 - Supply Air Humidity, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2KS-603, Point Description: J460-02-2KS-603 - Labs Day Extention Timer - Timer, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2XI-603, Point Description: J460-02-2XI-603 - Labs Day Extention Timer - Indicator, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2XS-603, Point Description: J460-02-2XS-603 - Labs Day Extention Timer - Enable, standardDeviceTag: null
2025-02-18 18:53:41 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-003, Point Description: J460-01-2TT-003 - Chilled Water - Return Temperature, standardDeviceTag: J460-01-2TT-613
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2TT-002, Point Description: J460-01-2TT-002 - Chilled Water - Supply Temperature, standardDeviceTag: J460-01-2TT-612
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-2FCV-001, Point Description: J460-01-2FCV-001 - Chilled Water Valve - Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-1PMP-001 - Chilled water Circulation pump - Controller, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-2XA-001 - Chilled water Circulation pump J460-01-1PMP-001 - Alarm, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-2SS-001 - Chilled water Circulation pump J460-01-1PMP-001 - Status, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-2SC-001 - Chilled water Circulation pump J460-01-1PMP-001 - Control Signal, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-2XS-001 - Chilled water Circulation pump J460-01-1PMP-001 - Enable, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-01-1PMP-001, Point Description: J460-01-2HSI-001 - Chilled water Circulation pump J460-01-1PMP-001 - Maintanance Switch, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J140-06-2FT-002, Point Description: J140-06-2FT-002 - Demi Water - Return Flow, standardDeviceTag: J140-06-2FT-001
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J140-06-2FT-001, Point Description: J140-06-2FT-001 - Demi Water - Supply Flow, standardDeviceTag: J140-06-2FT-001
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J140-06-2PT-001, Point Description: J140-06-2PT-001 - Demi Water - Inlet Pressure, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J140-06-2PT-002, Point Description: J140-06-2PT-002 - Demi Water - Outlet Pressure, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J140-06-2PT-003, Point Description: J140-06-2PT-003 - Demi Water - Return Pressure, standardDeviceTag: null
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2TT-617, Point Description: J460-02-2TT-617 - Chilled Water - Return Temperature, standardDeviceTag: J460-01-2TT-613
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2TT-616, Point Description: J460-02-2TT-616 - Chilled Water - Supply Temperature, standardDeviceTag: J460-01-2TT-612
2025-02-18 18:53:42 [AWT-EventQueue-0] DEBUG com.ontlogieai.Main - Row processed - Device Tag: J460-02-2FCV-624, Point Description: J460-02-2FCV-624 - Chilled Water Valve - Controller, standardDeviceTag: null
